time,block_id,x,y,z,isLocked,isHeld
60.4200,Block4,5.7791,-49.0000,8.1624,0,0
60.4200,Block5,-4.7560,-49.0000,6.6120,0,0
60.4400,Block0,-8.3463,-49.0000,-10.4779,1,0
60.4400,Block1,-6.0021,-49.0000,-1.3413,0,0
60.4400,Block2,5.5845,-49.0000,4.7079,0,0
60.4400,Block3,-7.1357,-49.0000,3.8935,0,0
60.4400,Block4,5.7791,-49.0000,8.1624,0,0
60.4400,Block5,-4.7560,-49.0000,6.6120,0,0
60.4600,Block0,-8.3463,-49.0000,-10.4779,1,0
60.4600,Block1,-6.0021,-49.0000,-1.3413,0,0
60.4600,Block2,5.5845,-49.0000,4.7079,0,0
60.4600,Block3,-7.1357,-49.0000,3.8935,0,0
60.4600,Block4,5.7791,-49.0000,8.1624,0,0
60.4600,Block5,-4.7560,-49.0000,6.6120,0,0
60.4800,Block0,-8.3463,-49.0000,-10.4779,1,0
60.4800,Block1,-6.0021,-49.0000,-1.3413,0,0
60.4800,Block2,5.5845,-49.0000,4.7079,0,0
60.4800,Block3,-7.1357,-49.0000,3.8935,0,0
60.4800,Block4,5.7791,-49.0000,8.1624,0,0
60.4800,Block5,-4.7560,-49.0000,6.6120,0,0
60.5000,Block0,-8.3463,-49.0000,-10.4779,1,0
60.5000,Block1,-6.0021,-49.0000,-1.3413,0,0
60.5000,Block2,5.5845,-49.0000,4.7079,0,0
60.5000,Block3,-7.1357,-49.0000,3.8935,0,0
60.5000,Block4,5.7791,-49.0000,8.1624,0,0
60.5000,Block5,-4.7560,-49.0000,6.6120,0,0
60.5200,Block0,-8.3463,-49.0000,-10.4779,1,0
60.5200,Block1,-6.0021,-49.0000,-1.3413,0,0
60.5200,Block2,5.5845,-49.0000,4.7079,0,0
60.5200,Block3,-7.1357,-49.0000,3.8935,0,0
60.5200,Block4,5.7791,-49.0000,8.1624,0,0
60.5200,Block5,-4.7560,-49.0000,6.6120,0,0
60.5400,Block0,-8.3463,-49.0000,-10.4779,1,0
60.5400,Block1,-6.0021,-49.0000,-1.3413,0,0
60.5400,Block2,5.5845,-49.0000,4.7079,0,0
60.5400,Block3,-7.1357,-49.0000,3.8935,0,0
60.5400,Block4,5.7791,-49.0000,8.1624,0,0
60.5400,Block5,-4.7560,-49.0000,6.6120,0,0
60.5600,Block0,-8.3463,-49.0000,-10.4779,1,0
60.5600,Block1,-6.0021,-49.0000,-1.3413,0,0
60.5600,Block2,5.5845,-49.0000,4.7079,0,0
60.5600,Block3,-7.1357,-49.0000,3.8935,0,0
60.5600,Block4,5.7791,-49.0000,8.1624,0,0
60.5600,Block5,-4.7560,-49.0000,6.6120,0,0
60.5800,Block0,-8.3463,-49.0000,-10.4779,1,0
60.5800,Block1,-6.0021,-49.0000,-1.3413,0,0
60.5800,Block2,5.5845,-49.0000,4.7079,0,0
60.5800,Block3,-7.1357,-49.0000,3.8935,0,0
60.5800,Block4,5.7791,-49.0000,8.1624,0,0
60.5800,Block5,-4.7560,-49.0000,6.6120,0,0
